"SDG","accuracy_llama","accuracy_gpt","accuracy_deepseek"
1,0.779220779220779,0.649350649350649,0.649350649350649
2,0.868421052631579,0.368421052631579,0.368421052631579
3,0.858974358974359,0.641025641025641,0.641025641025641
4,0.80952380952381,0.464285714285714,0.464285714285714
5,0.869565217391304,0.492753623188406,0.492753623188406
6,0.917647058823529,0.435294117647059,0.435294117647059
7,0.925233644859813,0.467289719626168,0.467289719626168
8,0.765432098765432,0.493827160493827,0.493827160493827
9,0.8125,0.453125,0.453125
10,0.904761904761905,0.507936507936508,0.507936507936508
11,0.840579710144927,0.608695652173913,0.608695652173913
12,0.855555555555556,0.511111111111111,0.511111111111111
13,0.923076923076923,0.492307692307692,0.492307692307692
14,0.821428571428571,0.583333333333333,0.583333333333333
15,0.887323943661972,0.422535211267606,0.422535211267606
16,0.823529411764706,0.485294117647059,0.485294117647059
17,0.728155339805825,0.446601941747573,0.446601941747573
NA,0.844827586206897,0.5,0.5
